x,speciesCBRO2021
"Chordata Aves Rheiformes Rheidae Rhea americana americana (Linnaeus, 1758) ema CR","Rhea americana americana (Linnaeus, 1758)"
"Chordata Aves Tinamiformes Tinamidae Tinamus solitarius (Vieillot, 1819) macuco VU","Tinamus solitarius (Vieillot, 1819)"
"Chordata Aves Tinamiformes Tinamidae Crypturellus undulatus vermiculatus (Temminck, 1825) jaó VU","Crypturellus undulatus vermiculatus (Temminck, 1825)"
"Chordata Aves Tinamiformes Tinamidae Crypturellus noctivagus noctivagus (Wied, 1820) jaó-do-sul EN","Crypturellus noctivagus (Wied, 1820)"
"Chordata Aves Tinamiformes Tinamidae Nothura minor (Spix, 1825) codorna-mineira RE","Nothura minor (Spix, 1825)"
"Chordata Aves Tinamiformes Tinamidae Taoniscus nanus (Temminck, 1815) codorninha RE","Taoniscus nanus (Temminck, 1815)"
"Chordata Aves Anseriformes Anatidae Sarkidiornis sylvicola Ihering & Ihering, 1907 pato-de-crista VU","Sarkidiornis sylvicola Ihering & Ihering, 1907"
"Chordata Aves Anseriformes Anatidae Mergus octosetaceus Vieillot, 1817 pato-mergulhão CR","Mergus octosetaceus Vieillot, 1817"
"Chordata Aves Galliformes Cracidae Aburria jacutinga (Spix, 1825) jacutinga CR","Aburria jacutinga (Spix, 1825)"
"Chordata Aves Galliformes Cracidae Ortalis guttata remota Pinto, 1964 aracuã-pintado CR","Ortalis remota Pinto, 1960"
"Chordata Aves Galliformes Cracidae Crax fasciolata fasciolata Spix, 1825 mutum-de-penacho CR","Crax fasciolata fasciolata Spix, 1825"
"Chordata Aves Procellariiformes Diomedeidae Thalassarche chlororhynchos (Gmelin, 1789) albatroz-de-nariz-amarelo EN","Thalassarche chlororhynchos (Gmelin, 1789)"
"Chordata Aves Procellariiformes Diomedeidae Thalassarche melanophris (Temminck, 1828) albatroz-de-sobrancelha EN","Thalassarche melanophris (Temminck, 1828)"
"Chordata Aves Procellariiformes Diomedeidae Diomedea exulans Linnaeus, 1758 albatroz-errante CR","Diomedea exulans Linnaeus, 1758"
"Chordata Aves Procellariiformes Diomedeidae Diomedea dabbenena Mathews, 1929 albatroz-de-tristão CR","Diomedea dabbenena Mathews, 1929"
"Chordata Aves Ciconiiformes Ciconiidae Ciconia maguari (Gmelin, 1789) maguari VU","Ciconia maguari (Gmelin, 1789)"
"Chordata Aves Pelecaniformes Ardeidae Tigrisoma fasciatum fasciatum (Such, 1825) socó-jararaca CR","Tigrisoma fasciatum fasciatum (Such, 1825)"
"Chordata Aves Pelecaniformes Ardeidae Cochlearius cochlearius cochlearius (Linnaeus, 1766) arapapá EN","Cochlearius cochlearius cochlearius (Linnaeus, 1766)"
"Chordata Aves Accipitriformes Accipitridae Circus buffoni (Gmelin, 1788) gavião-do-banhado VU","Circus buffoni (Gmelin, 1788)"
"Chordata Aves Accipitriformes Accipitridae Accipiter poliogaster (Temminck, 1824) tauató-pintado VU","Accipiter poliogaster (Temminck, 1824)"
"Chordata Aves Accipitriformes Accipitridae Buteogallus aequinoctialis (Gmelin, 1788) gavião-caranguejeiro RE","Buteogallus aequinoctialis (Gmelin, 1788)"
"Chordata Aves Accipitriformes Accipitridae Amadonastur lacernulatus (Temminck, 1827) gavião-pombo-pequeno VU","Amadonastur lacernulatus (Temminck, 1827)"
"Chordata Aves Accipitriformes Accipitridae Urubitinga coronata (Vieillot, 1817) águia-cinzenta CR","Urubitinga coronata (Vieillot, 1817)"
"Chordata Aves Accipitriformes Accipitridae Pseudastur polionotus (Kaup, 1847) gavião-pombo VU","Pseudastur polionotus (Kaup, 1847)"
"Chordata Aves Accipitriformes Accipitridae Morphnus guianensis (Daudin, 1800) uiraçu CR","Morphnus guianensis (Daudin, 1800)"
"Chordata Aves Accipitriformes Accipitridae Harpia harpyja (Linnaeus, 1758) gavião-real RE","Harpia harpyja (Linnaeus, 1758)"
"Chordata Aves Accipitriformes Accipitridae Spizaetus melanoleucus (Vieillot, 1816) gavião-pato EN","Spizaetus melanoleucus (Vieillot, 1816)"
"Chordata Aves Accipitriformes Accipitridae Spizaetus ornatus ornatus (Daudin, 1800) gavião-de-penacho CR","Spizaetus ornatus ornatus (Daudin, 1800)"
"Chordata Aves Gruiformes Rallidae Coturnicops notatus (Gould, 1841) pinto-d'água-carijó CR","Coturnicops notatus (Gould, 1841)"
"Chordata Aves Gruiformes Rallidae Micropygia schomburgkii chapmani (Naumburg, 1930) maxalalagá CR","Micropygia schomburgkii chapmani (Naumburg, 1930)"
"Chordata Aves Gruiformes Rallidae Rallus longirostris crassirostris Lawrence, 1871 saracura-matraca VU","Rallus longirostris crassirostris Lawrence, 1871"
"Chordata Aves Gruiformes Rallidae Aramides mangle (Spix, 1825) saracura-do-mangue VU","Aramides mangle (Spix, 1825)"
"Chordata Aves Gruiformes Rallidae Aramides cajaneus avicenniae Stotz, 1992 saracura-três-potes VU","Aramides cajaneus avicenniae Stotz, 1992"
"Chordata Aves Gruiformes Rallidae Laterallus xenopterus Conover, 1934 sanã-de-cara-ruiva CR","Laterallus xenopterus Conover, 1934"
"Chordata Aves Gruiformes Rallidae Porphyriops melanops melanops (Vieillot, 1819) galinha-d'água-carijó EN","Porphyriops melanops melanops (Vieillot, 1819)"
"Chordata Aves Gruiformes Heliornithidae Heliornis fulica (Boddaert, 1783) picaparra EN","Heliornis fulica (Boddaert, 1783)"
"Chordata Aves Charadriiformes Charadriidae Vanellus cayanus (Latham, 1790) mexeriqueira EN","Vanellus cayanus (Latham, 1790)"
"Chordata Aves Charadriiformes Charadriidae Charadrius wilsonia wilsonia Ord, 1814 batuíra-bicuda VU","Charadrius wilsonia wilsonia Ord, 1814"
"Chordata Aves Charadriiformes Haematopodidae Haematopus palliatus palliatus Temminck, 1820 piru-piru EN","Haematopus palliatus palliatus Temminck, 1820"
"Chordata Aves Charadriiformes Scolopacidae Gallinago undulata gigantea (Temminck, 1826) narcejão VU","Gallinago undulata gigantea (Temminck, 1826)"
"Chordata Aves Charadriiformes Scolopacidae Numenius borealis (Forster, 1772) maçarico-esquimó RE","Numenius borealis (Forster, 1772)"
"Chordata Aves Charadriiformes Scolopacidae Bartramia longicauda (Bechstein, 1812) maçarico-do-campo VU","Bartramia longicauda (Bechstein, 1812)"
"Chordata Aves Charadriiformes Scolopacidae Calidris canutus rufa (Wilson, 1813) maçarico-de-papo-vermelho CR","Calidris canutus rufa (Wilson, 1813)"
"Chordata Aves Charadriiformes Scolopacidae Calidris pusilla (Linnaeus, 1766) maçarico-rasteirinho EN","Calidris pusilla (Linnaeus, 1766)"
"Chordata Aves Charadriiformes Scolopacidae Calidris subruficollis (Vieillot, 1819) maçarico-acanelado VU","Calidris subruficollis (Vieillot, 1819)"
"Chordata Aves Charadriiformes Sternidae Sternula superciliaris (Vieillot, 1819) trinta-réis-pequeno EN","Sternula superciliaris (Vieillot, 1819)"
"Chordata Aves Charadriiformes Sternidae Phaetusa simplex simplex (Gmelin, 1789) trinta-réis-grande VU","Phaetusa simplex simplex (Gmelin, 1789)"
"Chordata Aves Charadriiformes Sternidae Sterna hirundinacea Lesson, 1831 trinta-réis-de-bico-vermelho VU","Sterna hirundinacea Lesson, 1831"
"Chordata Aves Charadriiformes Sternidae Thalasseus acuflavidus eurygnathus (Saunders, 1876) trinta-réis-de-bando VU","Thalasseus acuflavidus eurygnathus (Saunders, 1876)"
"Chordata Aves Charadriiformes Sternidae Thalasseus maximus maximus (Boddaert, 1783) trinta-réis-real EN","Thalasseus maximus (Boddaert, 1783)"
"Chordata Aves Columbiformes Columbidae Columbina cyanopis (Pelzeln, 1870) rolinha-do-planalto RE","Columbina cyanopis (Pelzeln, 1870)"
"Chordata Aves Columbiformes Columbidae Claravis geoffroyi (Temminck, 1811) pararu-espelho RE","Paraclaravis geoffroyi (Temminck, 1811)"
"Chordata Aves Columbiformes Columbidae Patagioenas speciosa (Gmelin, 1789) pomba-trocal EN","Patagioenas speciosa (Gmelin, 1789)"
"Chordata Aves Columbiformes Columbidae Geotrygon violacea violacea (Temminck, 1809) juriti-vermelha EN","Geotrygon violacea violacea (Temminck, 1809)"
"Chordata Aves Cuculiformes Cuculidae Dromococcyx phasianellus (Spix, 1824) peixe-frito RE","Dromococcyx phasianellus (Spix, 1824)"
"Chordata Aves Strigiformes Strigidae Pulsatrix perspicillata perspicillata (Latham, 1790) murucututu CR","Pulsatrix perspicillata perspicillata (Latham, 1790)"
"Chordata Aves Strigiformes Strigidae Pulsatrix perspicillata pulsatrix (Wied, 1820) murucututu RE","Pulsatrix perspicillata pulsatrix (Wied, 1820)"
"Chordata Aves Strigiformes Strigidae Strix huhula albomarginata (Spix, 1824) coruja-preta VU","Strix huhula albomarginata (Spix, 1824)"
"Chordata Aves Nyctibiiformes Nyctibiidae Nyctibius grandis grandis (Gmelin, 1789) urutau-grande CR","Nyctibius grandis grandis (Gmelin, 1789)"
"Chordata Aves Nyctibiiformes Nyctibiidae Nyctibius aethereus aethereus (Wied, 1820) urutau-pardo RE","Nyctibius aethereus aethereus (Wied, 1820)"
"Chordata Aves Caprimulgiformes Caprimulgidae Antrostomus sericocaudatus sericocaudatus Cassin, 1849 bacurau-rabo-de-seda CR","Antrostomus sericocaudatus sericocaudatus Cassin, 1849"
"Chordata Aves Caprimulgiformes Caprimulgidae Hydropsalis anomala (Gould, 1838) curiango-do-banhado RE","Hydropsalis anomala (Gould, 1838)"
