especie,especieCBRO
Tangara cyanocephala,Tangara cyanocephala
Tangara cyanomelas,Tangara cyanomelas
Tangara mexicana,Tangara mexicana
Tangara peruviana,Stilpnia peruviana
Tangara seledon,Tangara seledon
Tangara velia,Tangara velia
Tangara velia signata,Tangara velia signata
Taoniscus nanus,Taoniscus nanus
Thalassarche cauta,Thalassarche cauta
Thalassarche chlororhynchos,Thalassarche chlororhynchos
Thalassarche chrysostoma,Thalassarche chrysostoma
Thalassarche melanophris,Thalassarche melanophris
Thalasseus acuflavidus,Thalasseus acuflavidus
Thalasseus acuflavidus eurygnathus,Thalasseus acuflavidus eurygnathus
Thalasseus maximus,Thalasseus maximus
Thalasseus maximus maximus,Thalasseus maximus
Thalurania furcata,Thalurania furcata
Thalurania furcata eriphile,Thalurania furcata eriphile
Thamnomanes caesius,Thamnomanes caesius
Thamnomanes caesius caesius,Thamnomanes caesius caesius
Thamnophilus aethiops incertus,Thamnophilus aethiops incertus
Thamnophilus nigropictus,Biatas nigropectus
Thamnophilus pelzelni,Thamnophilus pelzelni
Threnetes leucurus medianus,Threnetes leucurus medianus
Thripophaga macroura,Thripophaga macroura
Tigrisoma fasciatum,Tigrisoma fasciatum
Tigrisoma fasciatum fasciatum,Tigrisoma fasciatum fasciatum
Tinamus solitarius,Tinamus solitarius
Tityra semifasciata,Tityra semifasciata
Tolmomyias assimilis paraensis,Tolmomyias assimilis paraensis
Touit melanonota,Touit melanonotus
Touit melanonotus,Touit melanonotus
Touit surda,Touit surdus
Touit surdus,Touit surdus
Triclaria malachitacea,Triclaria malachitacea
Tringa semipalmata,Tringa semipalmata
Trogon collaris,Trogon collaris
Trogon viridis,Trogon viridis
Tryngites subruficollis,Calidris subruficollis
Turdus fumigatus,Turdus fumigatus
Turdus fumigatus fumigatus,Turdus fumigatus fumigatus
Tyranniscus burmeisteri,Tyranniscus burmeisteri
Tyrannus albogularis,Tyrannus albogularis
Urubitinga coronata,Urubitinga coronata
Urubitinga urubitinga,Urubitinga urubitinga
Vanellus cayanus,Vanellus cayanus
Veniliornis affinis,Veniliornis affinis
Veniliornis affinis affinis,Veniliornis affinis affinis
Veniliornis mixtus,Veniliornis mixtus
Veniliornis mixtus cancellatus,Veniliornis mixtus cancellatus
Xanthopsar flavus,Xanthopsar flavus
Xenopsaris albinucha,Xenopsaris albinucha
Xiphocolaptes falcirostris,Xiphocolaptes falcirostris
Xiphocolaptes falcirostris franciscanus,Xiphocolaptes falcirostris franciscanus
Xipholena atropurpurea,Xipholena atropurpurea
Xiphorhynchus guttatus,Xiphorhynchus guttatus
Xiphorhynchus guttatus guttatus,Xiphorhynchus guttatus guttatus
Xiphorhynchus picus,Dendroplex picus
Xolmis dominicanus,Heteroxolmis dominicanus
Xolmis irupero,Xolmis irupero
