especie,especieCBRO
Cistothorus platensis,Cistothorus platensis
Claravis geoffroyi,Paraclaravis geoffroyi
Claravis godefrida,Paraclaravis geoffroyi
Claravis pretiosa,Claravis pretiosa
Clibanornis dendrocolaptoides,Clibanornis dendrocolaptoides
Clibanornis rectirostris,Clibanornis rectirostris
Cnemotriccus fuscatus fuscatus,Cnemotriccus fuscatus fuscatus
Coccyzus euleri,Coccyzus euleri
Cochlearius cochlearius,Cochlearius cochlearius
Cochlearius cochlearius cochlearius,Cochlearius cochlearius cochlearius
Colibri delphinae,Colibri delphinae
Colibri serrirostris,Colibri serrirostris
Colonia colonus,Colonia colonus
Columba cayennensis,Patagioenas cayennensis
Columba plumbea,Patagioenas plumbea
Columba speciosa,Patagioenas speciosa
Columbina cyanopis,Columbina cyanopis
Columbina minuta,Columbina minuta
Conirostrum bicolor,Conirostrum bicolor
Conopias trivirgatus,Conopias trivirgatus
Contopus cinereus,Contopus cinereus
Coryphaspiza melanotis,Coryphaspiza melanotis
Coryphaspiza melanotis marajoara,Coryphaspiza melanotis marajoara
Coryphistera alaudina,Coryphistera alaudina
Corythopis delalandi,Corythopis delalandi
Cotinga maculata,Cotinga maculata
Coturnicops notatus,Coturnicops notatus
Cranioleuca sulphurifera,Limnoctites sulphuriferus
Cranioleuca vulpina,Cranioleuca vulpina
Crax blumembachii,Crax blumenbachii
Crax blumenbachii,Crax blumenbachii
Crax fasciolata,Crax fasciolata
Crax fasciolata fasciolata,Crax fasciolata fasciolata
Crax fasciolata pinima,Crax fasciolata pinima
Crotophaga major,Crotophaga major
Crypturellus noctivagus,Crypturellus noctivagus
Crypturellus noctivagus noctivagus,Crypturellus noctivagus
Crypturellus undulatus,Crypturellus undulatus
Crypturellus undulatus vermiculatus,Crypturellus undulatus vermiculatus
Crypturellus variegatus,Crypturellus variegatus
Culicivora caudacuta,Culicivora caudacuta
Curaeus forbesi,Anumara forbesi
Cyanocorax cristatellus,Cyanocorax cristatellus
Cyanocorax cyanomelas,Cyanocorax cyanomelas
Cyanoloxia brissonii sterea,Cyanoloxia brissonii sterea
Cyanopsitta spixii,Cyanopsitta spixii
