scientificNameCBRO2021,scientificNameOriginal,category,scale,year,source,link
Tinamus tao,"Tinamus tao Temminck, 1815",VU,Brazil,2014,"Portaria 444, de 17 de dezembro de 2014",https://www.ibama.gov.br/component/legislacao/?view=legislacao&legislacao=134520
Crypturellus noctivagus,"Crypturellus noctivagus noctivagus (Wied, 1820)",VU,Brazil,2014,"Portaria 444, de 17 de dezembro de 2014",https://www.ibama.gov.br/component/legislacao/?view=legislacao&legislacao=134520
Crypturellus zabele,"Crypturellus noctivagus zabele (Spix, 1825)",VU,Brazil,2014,"Portaria 444, de 17 de dezembro de 2014",https://www.ibama.gov.br/component/legislacao/?view=legislacao&legislacao=134520
Nothura minor,"Nothura minor (Spix, 1825)",EN,Brazil,2014,"Portaria 444, de 17 de dezembro de 2014",https://www.ibama.gov.br/component/legislacao/?view=legislacao&legislacao=134520
Taoniscus nanus,"Taoniscus nanus (Temminck, 1815)",EN,Brazil,2014,"Portaria 444, de 17 de dezembro de 2014",https://www.ibama.gov.br/component/legislacao/?view=legislacao&legislacao=134520
Mergus octosetaceus,"Mergus octosetaceus Vieillot, 1817",CR,Brazil,2014,"Portaria 444, de 17 de dezembro de 2014",https://www.ibama.gov.br/component/legislacao/?view=legislacao&legislacao=134520
Penelope superciliaris alagoensis,"Penelope superciliaris alagoensis Nardelli, 1993",CR,Brazil,2014,"Portaria 444, de 17 de dezembro de 2014",https://www.ibama.gov.br/component/legislacao/?view=legislacao&legislacao=134520
Penelope ochrogaster,"Penelope ochrogaster Pelzeln, 1870",VU,Brazil,2014,"Portaria 444, de 17 de dezembro de 2014",https://www.ibama.gov.br/component/legislacao/?view=legislacao&legislacao=134520
Penelope pileata,"Penelope pileata Wagler, 1830",VU,Brazil,2014,"Portaria 444, de 17 de dezembro de 2014",https://www.ibama.gov.br/component/legislacao/?view=legislacao&legislacao=134520
Penelope jacucaca,"Penelope jacucaca Spix, 1825",VU,Brazil,2014,"Portaria 444, de 17 de dezembro de 2014",https://www.ibama.gov.br/component/legislacao/?view=legislacao&legislacao=134520
Aburria jacutinga,"Aburria jacutinga (Spix, 1825)",EN,Brazil,2014,"Portaria 444, de 17 de dezembro de 2014",https://www.ibama.gov.br/component/legislacao/?view=legislacao&legislacao=134520
Ortalis remota,"Ortalis guttata remota Pinto, 1960",CR,Brazil,2014,"Portaria 444, de 17 de dezembro de 2014",https://www.ibama.gov.br/component/legislacao/?view=legislacao&legislacao=134520
Crax blumenbachii,"Crax blumenbachii Spix, 1825",CR,Brazil,2014,"Portaria 444, de 17 de dezembro de 2014",https://www.ibama.gov.br/component/legislacao/?view=legislacao&legislacao=134520
Crax globulosa,"Crax globulosa Spix, 1825",EN,Brazil,2014,"Portaria 444, de 17 de dezembro de 2014",https://www.ibama.gov.br/component/legislacao/?view=legislacao&legislacao=134520
Crax fasciolata pinima,"Crax fasciolata pinima Pelzeln, 1870",CR,Brazil,2014,"Portaria 444, de 17 de dezembro de 2014",https://www.ibama.gov.br/component/legislacao/?view=legislacao&legislacao=134520
