x,speciesCBRO2021
"Aves Aves Gruiformes Rallidae Micropygia schomburgkii (Schomburgk, 1848) maxalalagá CR","Micropygia schomburgkii (Schomburgk, 1848)"
"Aves Aves Gruiformes Rallidae Laterallus xenopterus Conover, 1934 sanã-de-cara-ruiva CR","Laterallus xenopterus Conover, 1934"
"Aves Aves Gruiformes Rallidae Gallinula melanops (Vieillot, 1819) frango-d’água-carijó VU","Porphyriops melanops (Vieillot, 1819)"
"Aves Aves Gruiformes Heliornithidae Heliornis fulica (Boddaert, 1783) picaparra CR","Heliornis fulica (Boddaert, 1783)"
"Aves Aves Charadriiformes Charadriidae Vanellus cayanus (Latham, 1790) batuíra-de-esporão CR","Vanellus cayanus (Latham, 1790)"
"Aves Aves Charadriiformes Haematopodidae Haematopus palliatus Temminck, 1820 piru-piru VU","Haematopus palliatus Temminck, 1820"
"Aves Aves Charadriiformes Scolopacidae Numenius borealis (Forster, 1772) maçarico-esquimó CR","Numenius borealis (Forster, 1772)"
"Aves Aves Charadriiformes Sternidae Sternula superciliaris (Vieillot, 1819) trinta-réis-anão VU","Sternula superciliaris (Vieillot, 1819)"
"Aves Aves Charadriiformes Sternidae Phaetusa simplex (Gmelin, 1789) trinta-réis-grande VU","Phaetusa simplex (Gmelin, 1789)"
"Aves Aves Charadriiformes Sternidae Thalasseus sandvicensis (Latham, 1787) trinta-réis-de-bando VU","Thalasseus acuflavidus (Cabot, 1847)"
"Aves Aves Charadriiformes Sternidae Thalasseus maximus (Boddaert, 1783) trinta-réis-real VU","Thalasseus maximus (Boddaert, 1783)"
"Aves Aves Columbiformes Columbidae Columbina minuta (Linnaeus, 1766) rolinha-de-asa-canela VU","Columbina minuta (Linnaeus, 1766)"
"Aves Aves Columbiformes Columbidae Columbina cyanopis (Pelzeln, 1870) rolinha-do-planalto CR","Columbina cyanopis (Pelzeln, 1870)"
"Aves Aves Columbiformes Columbidae Claravis godefrida (Temminck, 1811) pararu-espelho CR","Paraclaravis geoffroyi (Temminck, 1811)"
"Aves Aves Columbiformes Columbidae Patagioenas speciosa (Gmelin, 1789) pomba-trocal EN","Patagioenas speciosa (Gmelin, 1789)"
"Aves Aves Columbiformes Columbidae Geotrygon violacea (Temminck, 1809) juriti-vermelha EN","Geotrygon violacea (Temminck, 1809)"
"Aves Aves Psittaciformes Psittacidae Ara ararauna (Linnaeus, 1758) arara-canindé CR","Ara ararauna (Linnaeus, 1758)"
"Aves Aves Psittaciformes Psittacidae Ara chloropterus Gray, 1859 arara-vermelha-grande CR","Ara chloropterus Gray, 1859"
"Aves Aves Psittaciformes Psittacidae Orthopsittaca manilata (Boddaert, 1783) maracanã-do-buriti CR","Orthopsittaca manilatus (Boddaert, 1783)"
"Aves Aves Psittaciformes Psittacidae Primolius maracana (Vieillot, 1816) maracanã-verdadeira EN","Primolius maracana (Vieillot, 1816)"
"Aves Aves Psittaciformes Psittacidae Diopsittaca nobilis (Linnaeus, 1758) maracanã-pequena CR","Diopsittaca nobilis (Linnaeus, 1758)"
"Aves Aves Psittaciformes Psittacidae Touit melanonotus (Wied, 1820) apuim-de-costas-pretas VU","Touit melanonotus (Wied, 1820)"
"Aves Aves Psittaciformes Psittacidae Alipiopsitta xanthops (Spix, 1824) papagaio-galego CR","Alipiopsitta xanthops (Spix, 1824)"
"Aves Aves Psittaciformes Psittacidae Amazona brasiliensis (Linnaeus, 1758) papagaio-de-cara-roxa EN","Amazona brasiliensis (Linnaeus, 1758)"
"Aves Aves Psittaciformes Psittacidae Amazona amazonica (Linnaeus, 1766) curica VU","Amazona amazonica (Linnaeus, 1766)"
"Aves Aves Psittaciformes Psittacidae Amazona farinosa (Boddaert, 1783) papagaio-moleiro CR","Amazona farinosa (Boddaert, 1783)"
"Aves Aves Psittaciformes Psittacidae Amazona vinacea (Kuhl, 1820) papagaio-de-peito-roxo EN","Amazona vinacea (Kuhl, 1820)"
"Aves Aves Psittaciformes Psittacidae Triclaria malachitacea (Spix, 1824) sabiá-cica VU","Triclaria malachitacea (Spix, 1824)"
"Aves Aves Cuculiformes Cuculidae Crotophaga major Gmelin, 1788 anu-coroca VU","Crotophaga major Gmelin, 1788"
"Aves Aves Cuculiformes Cuculidae Dromococcyx phasianellus (Spix, 1824) peixe-frito-verdadeiro CR","Dromococcyx phasianellus (Spix, 1824)"
"Aves Aves Strigiformes Strigidae Bubo virginianus (Gmelin, 1788) jacurutu VU","Bubo virginianus (Gmelin, 1788)"
"Aves Aves Strigiformes Strigidae Asio flammeus (Pontoppidan, 1763) mocho-dos-banhados EN","Asio flammeus (Pontoppidan, 1763)"
"Aves Aves Caprimulgiformes Nyctibiidae Nyctibius grandis (Gmelin, 1789) mãe-da-lua-gigante CR","Nyctibius grandis (Gmelin, 1789)"
"Aves Aves Caprimulgiformes Nyctibiidae Nyctibius aethereus (Wied, 1820) mãe-da-lua-parda CR","Nyctibius aethereus (Wied, 1820)"
"Aves Aves Caprimulgiformes Caprimulgidae Caprimulgus sericocaudatus (Cassin, 1849) bacurau-rabo-de-seda CR","Antrostomus sericocaudatus Cassin, 1849"
"Aves Aves Caprimulgiformes Caprimulgidae Caprimulgus maculicaudus (Lawrence, 1862) bacurau-de-rabo-maculado VU","Hydropsalis maculicaudus (Lawrence, 1862)"
"Aves Aves Caprimulgiformes Caprimulgidae Eleothreptus anomalus (Gould, 1838) curiango-do-banhado CR","Hydropsalis anomala (Gould, 1838)"
"Aves Aves Caprimulgiformes Caprimulgidae Eleothreptus candicans (Pelzeln, 1867) bacurau-de-rabo-branco CR","Hydropsalis candicans (Pelzeln, 1867)"
"Aves Aves Apodiformes Apodidae Tachornis squamata (Cassin, 1853) tesourinha VU","Tachornis squamata (Cassin, 1853)"
"Aves Aves Apodiformes Trochilidae Lophornis magnificus (Vieillot, 1817) topetinho-vermelho VU","Lophornis magnificus (Vieillot, 1817)"
"Aves Aves Apodiformes Trochilidae Thalurania furcata (Gmelin, 1788) beija-flor-tesoura-verde VU","Thalurania furcata (Gmelin, 1788)"
"Aves Aves Apodiformes Trochilidae Hylocharis sapphirina (Gmelin, 1788) beija-flor-safira VU","Hylocharis sapphirina (Gmelin, 1788)"
"Aves Aves Apodiformes Trochilidae Polytmus guainumbi (Pallas, 1764) beija-flor-de-bico-curvo VU","Polytmus guainumbi (Pallas, 1764)"
"Aves Aves Apodiformes Trochilidae Heliactin bilophus (Temminck, 1820) chifre-de-ouro CR","Heliactin bilophus (Temminck, 1820)"
"Aves Aves Coraciiformes Momotidae Momotus momota (Linnaeus, 1766) udu-de-coroa-azul VU","Momotus momota (Linnaeus, 1766)"
"Aves Aves Galbuliformes Galbulidae Brachygalba lugubris (Swainson, 1838) ariramba-preta CR","Brachygalba lugubris (Swainson, 1838)"
"Aves Aves Galbuliformes Galbulidae Jacamaralcyon tridactyla (Vieillot, 1817) cuitelão CR","Jacamaralcyon tridactyla (Vieillot, 1817)"
"Aves Aves Galbuliformes Bucconidae Nonnula rubecula (Spix, 1824) macuru VU","Nonnula rubecula (Spix, 1824)"
"Aves Aves Galbuliformes Bucconidae Monasa nigrifrons (Spix, 1824) chora-chuva-preto CR","Monasa nigrifrons (Spix, 1824)"
"Aves Aves Galbuliformes Bucconidae Chelidoptera tenebrosa (Pallas, 1782) urubuzinho CR","Chelidoptera tenebrosa (Pallas, 1782)"
"Aves Aves Piciformes Ramphastidae Ramphastos vitellinus pintoi Peters, 1945 tucano-de-bico-preto CR","Ramphastos vitellinus Lichtenstein, 1823"
"Aves Aves Piciformes Ramphastidae Pteroglossus bailloni (Vieillot, 1819) araçari-banana VU","Pteroglossus bailloni (Vieillot, 1819)"
"Aves Aves Piciformes Ramphastidae Pteroglossus aracari (Linnaeus, 1758) araçari-de-bico-branco CR","Pteroglossus aracari (Linnaeus, 1758)"
"Aves Aves Piciformes Ramphastidae Pteroglossus castanotis Gould, 1834 araçari-castanho CR","Pteroglossus castanotis Gould, 1834"
"Aves Aves Piciformes Picidae Veniliornis mixtus (Boddaert, 1783) pica-pau-chorão CR","Veniliornis mixtus (Boddaert, 1783)"
"Aves Aves Piciformes Picidae Dryocopus galeatus (Temminck, 1822) pica-pau-de-cara-canela EN","Celeus galeatus (Temminck, 1822)"
"Aves Aves Piciformes Picidae Campephilus melanoleucos (Gmelin, 1788) pica-pau-de-topete-vermelho VU","Campephilus melanoleucos (Gmelin, 1788)"
"Aves Aves Passeriformes Melanopareiidae Melanopareia torquata (Wied, 1831) tapaculo-de-colarinho EN","Melanopareia torquata (Wied, 1831)"
"Aves Aves Passeriformes Thamnophilidae Biatas nigropectus (Lafresnaye, 1850) papo-branco EN","Biatas nigropectus (Lafresnaye, 1850)"
"Aves Aves Passeriformes Thamnophilidae Myrmotherula minor Salvadori, 1864 choquinha-pequena VU","Myrmotherula minor Salvadori, 1864"
"Aves Aves Passeriformes Thamnophilidae Myrmotherula unicolor (Ménétriès, 1835) choquinha-cinzenta VU","Myrmotherula unicolor (Ménétries, 1835)"
"Aves Aves Passeriformes Thamnophilidae Herpsilochmus longirostris Pelzeln, 1868 chorozinho-de-bico-comprido EN","Herpsilochmus longirostris Pelzeln, 1868"
"Aves Aves Passeriformes Thamnophilidae Formicivora melanogaster Pelzeln, 1868 formigueiro-de-barriga-preta VU","Formicivora melanogaster Pelzeln, 1868"
"Aves Aves Passeriformes Thamnophilidae Formicivora aff. acutirostris (região de Mogi das Cruzes, Salesópolis e Arujá) bicudinho-dobrejo-paulista CR","Formicivora paludicola Buzzetti, Belmonte-Lopes, Reinert, Silveira & Bornschein, 2014"
"Aves Aves Passeriformes Scleruridae Sclerurus mexicanus Sclater, 1857 vira-folha-de-peito-vermelho VU","Sclerurus macconnelli Chubb, 1919"
"Aves Aves Passeriformes Scleruridae Geositta poeciloptera (Wied, 1830) curriqueiro CR","Geositta poeciloptera (Wied, 1830)"
"Aves Aves Passeriformes Dendrocolaptidae Campylorhamphus trochilirostris (Lichtenstein, 1820) arapaçu-beija-flor CR","Campylorhamphus trochilirostris (Lichtenstein, 1820)"
"Aves Aves Passeriformes Furnariidae Phleocryptes melanops (Vieillot, 1817) bate-bico VU","Phleocryptes melanops (Vieillot, 1817)"
"Aves Aves Passeriformes Furnariidae Oreophylax moreirae (Miranda-Ribeiro, 1906) garrincha-chorona EN","Asthenes moreirae (Miranda-Ribeiro, 1906)"
"Aves Aves Passeriformes Furnariidae Synallaxis hypospodia Sclater, 1874 joão-grilo EN","Synallaxis hypospodia Sclater, 1874"
"Aves Aves Passeriformes Furnariidae Synallaxis scutata Sclater, 1859 estrelinha-preta EN","Synallaxis scutata Sclater, 1859"
"Aves Aves Passeriformes Tyrannidae Hemitriccus furcatus (Lafresnaye, 1846) papa-moscas-estrela VU","Hemitriccus furcatus (Lafresnaye, 1846)"
"Aves Aves Passeriformes Tyrannidae Myiopagis gaimardii (d’Orbigny, 1839) maria-pechim VU","Myiopagis gaimardii (d'Orbigny, 1839)"
"Aves Aves Passeriformes Tyrannidae Elaenia cristata Pelzeln, 1868 guaracava-de-topete-uniforme EN","Elaenia cristata Pelzeln, 1868"
"Aves Aves Passeriformes Tyrannidae Suiriri suiriri (Vieillot, 1818) suiriri-cinzento CR","Suiriri suiriri (Vieillot, 1818)"
"Aves Aves Passeriformes Tyrannidae Polystictus pectoralis (Vieillot, 1817) papa-moscas-canela CR","Polystictus pectoralis (Vieillot, 1817)"
"Aves Aves Passeriformes Tyrannidae Euscarthmus rufomarginatus (Pelzeln, 1868) maria-corruíra CR","Euscarthmus rufomarginatus (Pelzeln, 1868)"
"Aves Aves Passeriformes Tyrannidae Phylloscartes eximius (Temminck, 1822) barbudinho VU","Phylloscartes eximius (Temminck, 1822)"
"Aves Aves Passeriformes Tyrannidae Phylloscartes kronei Willis & Oniki, 1992 maria-da-restinga VU","Phylloscartes kronei Willis & Oniki, 1992"
"Aves Aves Passeriformes Tyrannidae Phylloscartes paulista Ihering & Ihering, 1907 não-pode-parar VU","Phylloscartes paulista Ihering & Ihering, 1907"
"Aves Aves Passeriformes Tyrannidae Sublegatus modestus (Wied, 1831) guaracava-modesta EN","Sublegatus modestus (Wied, 1831)"
"Aves Aves Passeriformes Tyrannidae Culicivora caudacuta (Vieillot, 1818) papa-moscas-do-campo CR","Culicivora caudacuta (Vieillot, 1818)"
"Aves Aves Passeriformes Tyrannidae Platyrinchus leucoryphus Wied, 1831 patinho-gigante VU","Platyrinchus leucoryphus Wied, 1831"
"Aves Aves Passeriformes Tyrannidae Onychorhynchus swainsoni (Pelzeln, 1858) maria-leque VU","Onychorhynchus swainsoni (Pelzeln, 1858)"
"Aves Aves Passeriformes Tyrannidae Alectrurus tricolor (Vieillot, 1816) galito CR","Alectrurus tricolor (Vieillot, 1816)"
"Aves Aves Passeriformes Cotingidae Carpornis melanocephala (Wied, 1820) sabiá-pimenta CR","Carpornis melanocephala (Wied, 1820)"
"Aves Aves Passeriformes Cotingidae Procnias nudicollis (Vieillot, 1817) araponga VU","Procnias nudicollis (Vieillot, 1817)"
"Aves Aves Passeriformes Cotingidae Lipaugus lanioides (Lesson, 1844) tropeiro-da-serra VU","Lipaugus lanioides (Lesson, 1844)"
"Aves Aves Passeriformes Cotingidae Pyroderus scutatus (Shaw, 1792) pavó VU","Pyroderus scutatus (Shaw, 1792)"
"Aves Aves Passeriformes Pipridae Neopelma pallescens (Lafresnaye, 1853) fruxu-do-cerradão VU","Neopelma pallescens (Lafresnaye, 1853)"
"Aves Aves Passeriformes Pipridae Piprites pileata (Temminck, 1822) caneleirinho-de-chapéu-preto VU","Piprites pileata (Temminck, 1822)"
"Aves Aves Passeriformes Pipridae Pipra fasciicauda Hellmayr, 1906 uirapuru-laranja VU","Pipra fasciicauda Hellmayr, 1906"
"Aves Aves Passeriformes Tityridae Laniisoma elegans (Thunberg, 1823) chibante VU","Laniisoma elegans (Thunberg, 1823)"
"Aves Aves Passeriformes Tityridae Iodopleura pipra (Lesson, 1831) anambezinho EN","Iodopleura pipra (Lesson, 1831)"
"Aves Aves Passeriformes Troglodytidae Cistothorus platensis (Latham, 1790) corruíra-do-campo CR","Cistothorus platensis (Latham, 1790)"
"Aves Aves Passeriformes Motacillidae Anthus nattereri Sclater, 1878 caminheiro-grande CR","Anthus nattereri Sclater, 1878"
"Aves Aves Passeriformes Thraupidae Schistochlamys melanopis (Latham, 1790) sanhaçu-de-coleira EN","Schistochlamys melanopis (Latham, 1790)"
"Aves Aves Passeriformes Thraupidae Neothraupis fasciata (Lichtenstein, 1823) cigarra-do-campo EN","Neothraupis fasciata (Lichtenstein, 1823)"
"Aves Aves Passeriformes Thraupidae Cypsnagra hirundinacea (Lesson, 1831) bandoleta EN","Cypsnagra hirundinacea (Lesson, 1831)"
"Aves Aves Passeriformes Thraupidae Eucometis penicillata (Spix, 1825) pipira-da-taoca EN","Eucometis penicillata (Spix, 1825)"
"Aves Aves Passeriformes Thraupidae Tachyphonus rufus (Boddaert, 1783) pipira-preta VU","Tachyphonus rufus (Boddaert, 1783)"
"Aves Aves Passeriformes Thraupidae Tangara peruviana (Desmarest, 1806) saíra-sapucaia EN","Stilpnia peruviana (Desmarest, 1806)"
"Aves Aves Passeriformes Thraupidae Dacnis nigripes Pelzeln, 1856 saí-de-pernas-pretas VU","Dacnis nigripes Pelzeln, 1856"
"Aves Aves Passeriformes Emberizidae Donacospiza albifrons (Vieillot, 1817) tico-tico-do-banhado VU","Donacospiza albifrons (Vieillot, 1817)"
