x,speciesCBRO2021
"Aves Chordata Aves Struthioniformes Rheidae Rhea americana (Linnaeus, 1758) Ema","Rhea americana (Linnaeus, 1758)"
"Aves Chordata Aves Tinamiformes Tinamidae Tinamus solitarius (Vieillot, 1819) Macuco","Tinamus solitarius (Vieillot, 1819)"
"Aves Chordata Aves Tinamiformes Tinamidae Crypturellus undulatus (Temminck, 1815) Jaó","Crypturellus undulatus (Temminck, 1815)"
"Aves Chordata Aves Tinamiformes Tinamidae Crypturellus noctivagus (Wied, 1820) jaó-do-sul","Crypturellus noctivagus (Wied, 1820)"
"Aves Chordata Aves Tinamiformes Tinamidae Rhynchotus rufescens (Temminck, 1815) Perdiz","Rhynchotus rufescens (Temminck, 1815)"
"Aves Chordata Aves Tinamiformes Tinamidae Nothura minor (Spix, 1825) codorna-mineira","Nothura minor (Spix, 1825)"
"Aves Chordata Aves Tinamiformes Tinamidae Taoniscus nanus (Temminck, 1815) inhambu-carapé","Taoniscus nanus (Temminck, 1815)"
"Aves Chordata Aves Anseriformes Anhimidae Anhima cornuta (Linnaeus, 1766) Anhuma","Anhima cornuta (Linnaeus, 1766)"
"Aves Chordata Aves Anseriformes Anatidae Neochen jubata (Spix, 1825) pato-corredor","Neochen jubata (Spix, 1825)"
"Aves Chordata Aves Anseriformes Anatidae Sarkidiornis sylvicola Ihering & Ihering, 1907 pato-de-crista","Sarkidiornis sylvicola Ihering & Ihering, 1907"
"Aves Chordata Aves Anseriformes Anatidae Mergus octosetaceus Vieillot, 1817 pato-mergulhão","Mergus octosetaceus Vieillot, 1817"
"Aves Chordata Aves Galliformes Cracidae Ortalis guttata (Spix, 1825) Aracuã","Ortalis guttata (Spix, 1825)"
"Aves Chordata Aves Galliformes Cracidae Aburria jacutinga (Spix, 1825) Jacutinga","Aburria jacutinga (Spix, 1825)"
"Aves Chordata Aves Galliformes Cracidae Crax fasciolata Spix, 1825 mutum-de-penacho","Crax fasciolata Spix, 1825"
"Aves Chordata Aves Procellariiformes Diomedeidae Thalassarche chlororhynchos (Gmelin, 1789) albatroz-de-nariz-amarelo","Thalassarche chlororhynchos (Gmelin, 1789)"
"Aves Chordata Aves Procellariiformes Diomedeidae Thalassarche melanophris (Temminck, 1828) albatroz-de-sobrancelha","Thalassarche melanophris (Temminck, 1828)"
"Aves Chordata Aves Procellariiformes Diomedeidae Diomedea exulans Linnaeus, 1758 albatroz-gigante","Diomedea exulans Linnaeus, 1758"
"Aves Chordata Aves Procellariiformes Diomedeidae Diomedea dabbenena Mathews, 1929 albatroz-de-tristão","Diomedea dabbenena Mathews, 1929"
"Aves Chordata Aves Procellariiformes Procellariidae Procellaria aequinoctialis Linnaeus, 1758 pardela-preta","Procellaria aequinoctialis Linnaeus, 1758"
"Aves Chordata Aves Procellariiformes Procellariidae Procellaria conspicillata Gould, 1844 pardela-de-óculos","Procellaria conspicillata Gould, 1844"
"Aves Chordata Aves Ciconiiformes Ciconiidae Ciconia maguari (Gmelin, 1789) Maguari","Ciconia maguari (Gmelin, 1789)"
"Aves Chordata Aves Ciconiiformes Ciconiidae Jabiru mycteria (Lichtenstein, 1819) Tuiuiú","Jabiru mycteria (Lichtenstein, 1819)"
"Aves Chordata Aves Pelecaniformes Ardeidae Tigrisoma fasciatum (Such, 1825) socó-boi-escuro","Tigrisoma fasciatum (Such, 1825)"
"Aves Chordata Aves Pelecaniformes Ardeidae Cochlearius cochlearius (Linnaeus, 1766) Arapapá","Cochlearius cochlearius (Linnaeus, 1766)"
"Aves Chordata Aves Pelecaniformes Ardeidae Nyctanassa violacea (Linnaeus, 1758) savacu-de-coroa","Nyctanassa violacea (Linnaeus, 1758)"
"Aves Chordata Aves Pelecaniformes Threskiornithidae Eudocimus ruber (Linnaeus, 1758) Guará","Eudocimus ruber (Linnaeus, 1758)"
"Aves Chordata Aves Cathartiformes Cathartidae Sarcoramphus papa (Linnaeus, 1758) urubu-rei","Sarcoramphus papa (Linnaeus, 1758)"
"Aves Chordata Aves Accipitriformes Accipitridae Circus buffoni (Gmelin, 1788) gavião-do-banhado","Circus buffoni (Gmelin, 1788)"
"Aves Chordata Aves Accipitriformes Accipitridae Busarellus nigricollis (Latham, 1790) Gavião-belo","Busarellus nigricollis (Latham, 1790)"
"Aves Chordata Aves Accipitriformes Accipitridae Buteogallus aequinoctialis (Gmelin, 1788) Caranguejeiro","Buteogallus aequinoctialis (Gmelin, 1788)"
"Aves Chordata Aves Accipitriformes Accipitridae Amadonastur lacernulatus (Temminck, 1827) Gavião-pombo-pequeno","Amadonastur lacernulatus (Temminck, 1827)"
"Aves Chordata Aves Accipitriformes Accipitridae Urubitinga coronata (Vieillot, 1817) Águia-cinzenta","Urubitinga coronata (Vieillot, 1817)"
"Aves Chordata Aves Accipitriformes Accipitridae Parabuteo unicinctus (Temminck, 1824) Gavião-asa-de-telha","Parabuteo unicinctus (Temminck, 1824)"
"Aves Chordata Aves Accipitriformes Accipitridae Pseudastur polionotus (Kaup, 1847) gavião-pombo-grande","Pseudastur polionotus (Kaup, 1847)"
"Aves Chordata Aves Accipitriformes Accipitridae Morphnus guianensis (Daudin, 1800) uiraçu-falso","Morphnus guianensis (Daudin, 1800)"
"Aves Chordata Aves Accipitriformes Accipitridae Harpia harpyja (Linnaeus, 1758) gavião-real","Harpia harpyja (Linnaeus, 1758)"
"Aves Chordata Aves Accipitriformes Accipitridae Spizaetus tyrannus (Wied, 1820) gavião-pega-macaco","Spizaetus tyrannus (Wied, 1820)"
"Aves Chordata Aves Accipitriformes Accipitridae Spizaetus melanoleucus (Vieillot, 1816) gavião-pato","Spizaetus melanoleucus (Vieillot, 1816)"
"Aves Chordata Aves Accipitriformes Accipitridae Spizaetus ornatus (Daudin, 1800) gavião-de-penacho","Spizaetus ornatus (Daudin, 1800)"
"Aves Chordata Aves Accipitriformes Falconidae Ibycter americanus (Boddaert, 1783) Gralhão","Ibycter americanus (Boddaert, 1783)"
"Aves Chordata Aves Accipitriformes Falconidae Falco rufigularis Daudin, 1800 Cauré","Falco rufigularis Daudin, 1800"
"Aves Chordata Aves Gruiformes Rallidae Coturnicops notatus (Gould, 1841) pinto-d’água-carijó","Coturnicops notatus (Gould, 1841)"
"Aves Chordata Aves Gruiformes Rallidae Micropygia schomburgkii (Schomburgk, 1848) Maxalalagá","Micropygia schomburgkii (Schomburgk, 1848)"
"Aves Chordata Aves Gruiformes Rallidae Rallus longirostris Boddaert, 1783 saracura-matraca","Rallus longirostris Boddaert, 1783"
"Aves Chordata Aves Gruiformes Rallidae Aramides mangle (Spix, 1825) saracura-do-mangue","Aramides mangle (Spix, 1825)"
"Aves Chordata Aves Gruiformes Rallidae Laterallus xenopterus Conover, 1934 sanã-de-cara-ruiva","Laterallus xenopterus Conover, 1934"
"Aves Chordata Aves Gruiformes Rallidae Gallinula melanops (Vieillot, 1819) frango-d’água-carijó","Porphyriops melanops (Vieillot, 1819)"
"Aves Chordata Aves Gruiformes Heliornithidae Heliornis fulica (Boddaert, 1783) Picaparra","Heliornis fulica (Boddaert, 1783)"
"Aves Chordata Aves Charadriiformes Charadriidae Vanellus cayanus (Latham, 1790) batuíra-de-esporão","Vanellus cayanus (Latham, 1790)"
"Aves Chordata Aves Charadriiformes Haematopodidae Haematopus palliatus Temminck, 1820 piru-piru","Haematopus palliatus Temminck, 1820"
"Aves Chordata Aves Charadriiformes Scolopacidae Numenius borealis (Forster, 1772) maçarico-esquimó","Numenius borealis (Forster, 1772)"
"Aves Chordata Aves Charadriiformes Sternidae Sternula superciliaris (Vieillot, 1819) trinta-réis-anão","Sternula superciliaris (Vieillot, 1819)"
"Aves Chordata Aves Charadriiformes Sternidae Phaetusa simplex (Gmelin, 1789) trinta-réis-grande","Phaetusa simplex (Gmelin, 1789)"
"Aves Chordata Aves Charadriiformes Sternidae Thalasseus acuflavidus (Cabot, 1847) trinta-réis-de-bando","Thalasseus acuflavidus (Cabot, 1847)"
"Aves Chordata Aves Charadriiformes Sternidae Thalasseus maximus (Boddaert, 1783) trinta-réis-real","Thalasseus maximus (Boddaert, 1783)"
"Aves Chordata Aves Columbiformes Columbidae Columbina minuta (Linnaeus, 1766) rolinha-de-asa-canela","Columbina minuta (Linnaeus, 1766)"
"Aves Chordata Aves Columbiformes Columbidae Columbina cyanopis (Pelzeln, 1870) rolinha-do-planalto","Columbina cyanopis (Pelzeln, 1870)"
"Aves Chordata Aves Columbiformes Columbidae Claravis geoffroyi (Temminck, 1811) pararu-espelho","Paraclaravis geoffroyi (Temminck, 1811)"
"Aves Chordata Aves Columbiformes Columbidae Patagioenas speciosa (Gmelin, 1789) pomba-trocal","Patagioenas speciosa (Gmelin, 1789)"
"Aves Chordata Aves Columbiformes Columbidae Geotrygon violacea (Temminck, 1809) juriti-vermelha","Geotrygon violacea (Temminck, 1809)"
"Aves Chordata Aves Psittaciformes Psittacidae Ara ararauna (Linnaeus, 1758) arara-canindé","Ara ararauna (Linnaeus, 1758)"
"Aves Chordata Aves Psittaciformes Psittacidae Ara chloropterus Gray, 1859 arara-vermelha-grande","Ara chloropterus Gray, 1859"
"Aves Chordata Aves Psittaciformes Psittacidae Orthopsittaca manilata (Boddaert, 1783) maracanã-do-buriti","Orthopsittaca manilatus (Boddaert, 1783)"
"Aves Chordata Aves Psittaciformes Psittacidae Primolius maracana (Vieillot, 1816) maracanã-verdadeira","Primolius maracana (Vieillot, 1816)"
"Aves Chordata Aves Psittaciformes Psittacidae Diopsittaca nobilis longipennis (Neumann, 1931) maracanã-pequena","Diopsittaca nobilis longipennis Neumann, 1931"
"Aves Chordata Aves Psittaciformes Psittacidae Touit melanonotus (Wied, 1820) apuim-de-costas-pretas","Touit melanonotus (Wied, 1820)"
"Aves Chordata Aves Psittaciformes Psittacidae Alipiopsitta xanthops (Spix, 1824) papagaio-galego","Alipiopsitta xanthops (Spix, 1824)"
"Aves Chordata Aves Psittaciformes Psittacidae Amazona vinacea (Kuhl, 1820) papagaio-de-peito-roxo","Amazona vinacea (Kuhl, 1820)"
"Aves Chordata Aves Psittaciformes Psittacidae Amazona farinosa (Boddaert, 1783) papagaio-moleiro","Amazona farinosa (Boddaert, 1783)"
"Aves Chordata Aves Psittaciformes Psittacidae Amazona brasiliensis (Linnaeus, 1758) papagaio-de-cara-roxa","Amazona brasiliensis (Linnaeus, 1758)"
"Aves Chordata Aves Psittaciformes Psittacidae Amazona amazonica (Linnaeus, 1766) Curica","Amazona amazonica (Linnaeus, 1766)"
"Aves Chordata Aves Psittaciformes Psittacidae Triclaria malachitacea (Spix, 1824) sabiá-cica","Triclaria malachitacea (Spix, 1824)"
"Aves Chordata Aves Cuculiformes Cuculidae Crotophaga major Gmelin, 1788 anu-coroca","Crotophaga major Gmelin, 1788"
