"Especie","Nome_Comum","Categoria"
"Claravis pretiosa","pararu-azul","Pouco Preocupante"
"Uropelia campestris","rolinha-vaqueira","Pouco Preocupante"
"Columbina passerina","rolinha-cinzenta","Pouco Preocupante"
"Columbina minuta","rolinha-de-asa-canela","Pouco Preocupante"
"Columbina talpacoti","rolinha-roxa","Pouco Preocupante"
"Columbina squammata","rolinha-fogo-apagou","Pouco Preocupante"
"Columbina picui","rolinha-picui","Pouco Preocupante"
"Columbina cyanopis","rolinha-do-planalto","Em Perigo Crítico"
"Guira guira","anu-branco","Pouco Preocupante"
"Crotophaga major","anu-coroca","Pouco Preocupante"
"Crotophaga ani","anu-preto","Pouco Preocupante"
"Tapera naevia","saci","Pouco Preocupante"
"Dromococcyx phasianellus","peixe-frito","Pouco Preocupante"
"Dromococcyx pavoninus","peixe-frito-pavonino","Pouco Preocupante"
"Neomorphus geoffroyi","jacu-estalo","Vulnerável"
"Neomorphus squamiger","jacu-estalo-escamoso","Quase Ameaçada"
"Neomorphus rufipennis","jacu-estalo-de-asa-vermelha","Pouco Preocupante"
"Neomorphus pucheranii","jacu-estalo-de-bico-vermelho","Pouco Preocupante"
"Coccycua minuta","chincoa-pequeno","Pouco Preocupante"
"Micrococcyx cinereus","papa-lagarta-cinzento","Pouco Preocupante"
"Piaya cayana","alma-de-gato","Pouco Preocupante"
"Piaya melanogaster","chincoa-de-bico-vermelho","Pouco Preocupante"
"Coccyzus melacoryphus","papa-lagarta-acanelado","Pouco Preocupante"
"Coccyzus americanus","papa-lagarta-de-asa-vermelha","Pouco Preocupante"
"Coccyzus euleri","papa-lagarta-de-euler","Pouco Preocupante"
"Coccyzus minor","papa-lagarta-do-mangue","Pouco Preocupante"
"Coccyzus erythropthalmus","papa-lagarta-de-bico-preto","Pouco Preocupante"
"Cuculus canorus","cuco-canoro",NA
"Steatornis caripensis","guacharo","Pouco Preocupante"
"Phyllaemulor bracteatus","urutau-ferrugem","Pouco Preocupante"
"Nyctibius grandis","urutau-grande","Pouco Preocupante"
"Nyctibius aethereus","urutau-pardo","Pouco Preocupante"
"Nyctibius griseus","urutau","Pouco Preocupante"
"Nyctibius leucopterus","urutau-de-asa-branca","Pouco Preocupante"
"Nyctiphrynus ocellatus","bacurau-ocelado","Pouco Preocupante"
"Antrostomus rufus","joao-corta-pau","Pouco Preocupante"
"Antrostomus sericocaudatus","bacurau-rabo-de-seda","Pouco Preocupante"
"Lurocalis semitorquatus","tuju","Pouco Preocupante"
"Nyctiprogne leucopyga","bacurau-de-cauda-barrada","Pouco Preocupante"
"Nyctiprogne vielliardi","bacurau-do-sao-francisco","Quase Ameaçada"
"Nyctidromus nigrescens","bacurau-de-lajeado","Pouco Preocupante"
"Nyctidromus albicollis","bacurau","Pouco Preocupante"
"Nyctidromus hirundinaceus","bacurauzinho-da-caatinga","Pouco Preocupante"
"Hydropsalis heterura","bacurau-chinta-do-norte",NA
"Hydropsalis parvula","bacurau-chinta","Pouco Preocupante"
"Hydropsalis anomala","curiango-do-banhado","Quase Ameaçada"
"Hydropsalis candicans","bacurau-de-rabo-branco","Em Perigo"
"Hydropsalis roraimae","bacurau-de-roraima",NA
"Hydropsalis longirostris","bacurau-da-telha","Pouco Preocupante"
"Ardea herodias","garca-azul-grande","Pouco Preocupante"
"Hydropsalis maculicaudus","bacurau-de-rabo-maculado","Pouco Preocupante"
"Hydropsalis cayennensis","bacurau-de-cauda-branca","Pouco Preocupante"
"Hydropsalis climacocerca","acurana","Pouco Preocupante"
"Hydropsalis torquata","bacurau-tesoura","Pouco Preocupante"
"Hydropsalis forcipata","bacurau-tesourao","Pouco Preocupante"
"Nannochordeiles pusillus","bacurauzinho","Pouco Preocupante"
"Podager nacunda","corucao","Pouco Preocupante"
"Chordeiles minor","bacurau-norte-americano","Pouco Preocupante"
"Chordeiles rupestris","bacurau-da-praia","Pouco Preocupante"
"Chordeiles acutipennis","bacurau-de-asa-fina","Pouco Preocupante"
"Cypseloides cryptus","taperucu-de-mento-branco","Pouco Preocupante"
"Cypseloides niger","taperucu-escuro","Pouco Preocupante"
"Cypseloides fumigatus","taperucu-preto","Pouco Preocupante"
"Cypseloides senex","taperucu-velho","Pouco Preocupante"
"Streptoprocne phelpsi","taperucu-dos-tepuis","Pouco Preocupante"
"Streptoprocne zonaris","taperucu-de-coleira-branca","Pouco Preocupante"
"Streptoprocne biscutata","taperucu-de-coleira-falha","Pouco Preocupante"
"Chaetura cinereiventris","andorinhao-de-sobre-cinzento","Pouco Preocupante"
"Chaetura spinicaudus","andorinhao-de-sobre-branco","Pouco Preocupante"
"Chaetura egregia","tapera-de-garganta-branca","Pouco Preocupante"
"Chaetura pelagica","andorinhao-peregrino","Quase Ameaçada"
"Chaetura chapmani","andorinhao-de-chapman","Pouco Preocupante"
"Chaetura meridionalis","andorinhao-do-temporal","Pouco Preocupante"
"Chaetura brachyura","andorinhao-de-rabo-curto","Pouco Preocupante"
"Aeronautes montivagus","andorinhao-serrano","Pouco Preocupante"
"Tachornis squamata","andorinhao-do-buriti","Pouco Preocupante"
"Panyptila cayennensis","andorinhao-estofador","Pouco Preocupante"
"Topaza pella","beija-flor-brilho-de-fogo","Pouco Preocupante"
"Topaza pyra","topazio-de-fogo","Pouco Preocupante"
"Florisuga mellivora","beija-flor-azul-de-rabo-branco","Pouco Preocupante"
"Florisuga fusca","beija-flor-preto","Pouco Preocupante"
"Ramphodon naevius","beija-flor-rajado","Quase Ameaçada"
"Glaucis dohrnii","balanca-rabo-canela","Em Perigo"
"Glaucis hirsutus","balanca-rabo-de-bico-torto","Pouco Preocupante"
"Threnetes leucurus","balanca-rabo-de-garganta-preta","Pouco Preocupante"
"Threnetes niger","balanca-rabo-escuro","Pouco Preocupante"
"Anopetia gounellei","rabo-branco-de-cauda-larga","Pouco Preocupante"
"Phaethornis squalidus","rabo-branco-pequeno","Pouco Preocupante"
"Phaethornis rupurumii","rabo-branco-do-rupununi","Pouco Preocupante"
"Phaethornis maranhaoensis","rabo-branco-do-maranhao",NA
"Phaethornis aethopygus","rabo-branco-do-tapajos","Quase Ameaçada"
