"Especie","Nome_Comum","Categoria"
"Thalassarche chlororhynchos","albatroz-de-nariz-amarelo","Em Perigo"
"Thalassarche melanophris","albatroz-de-sobrancelha","Quase Ameaçada"
"Thalassarche chrysostoma","albatroz-de-cabeca-cinza","Em Perigo"
"Thalassarche cauta","albatroz-de-coroa-branca","Quase Ameaçada"
"Fregetta grallaria","painho-de-barriga-branca","Pouco Preocupante"
"Fregetta tropica","painho-de-barriga-preta","Pouco Preocupante"
"Oceanites oceanicus","alma-de-mestre","Pouco Preocupante"
"Pelagodroma marina","calcamar","Pouco Preocupante"
"Hydrobates leucorhous","painho-de-cauda-furcada","Pouco Preocupante"
"Macronectes giganteus","petrel-grande","Pouco Preocupante"
"Macronectes halli","petrel-grande-do-norte","Pouco Preocupante"
"Fulmarus glacialoides","pardelao-prateado","Pouco Preocupante"
"Daption capense","pomba-do-cabo","Pouco Preocupante"
"Lugensa brevirostris","grazina-de-bico-curto","Pouco Preocupante"
"Pterodroma madeira","grazina-da-madeira","Em Perigo"
"Pterodroma deserta","grazina-de-desertas","Vulnerável"
"Pterodroma mollis","grazina-delicada","Pouco Preocupante"
"Pterodroma incerta","grazina-de-barriga-branca","Em Perigo"
"Pterodroma lessonii","grazina-de-cabeca-branca","Pouco Preocupante"
"Pterodroma macroptera","fura-bucho-de-cara-cinza","Pouco Preocupante"
"Pterodroma arminjoniana","grazina-de-trindade","Vulnerável"
"Halobaena caerulea","petrel-azul","Pouco Preocupante"
"Pachyptila vittata","faigao-de-bico-largo","Pouco Preocupante"
"Pachyptila desolata","faigao-rola","Pouco Preocupante"
"Pachyptila belcheri","faigao-de-bico-fino","Pouco Preocupante"
"Bulweria bulwerii","alma-negra","Pouco Preocupante"
"Procellaria aequinoctialis","pardela-preta","Vulnerável"
"Procellaria conspicillata","pardela-de-oculos","Vulnerável"
"Calonectris diomedea","cagarra-do-mediterraneo",NA
"Calonectris borealis","cagarra-grande","Pouco Preocupante"
"Calonectris edwardsii","cagarra-de-cabo-verde","Quase Ameaçada"
"Ardenna tenuirostris","pardela-de-cauda-curta","Pouco Preocupante"
"Ardenna grisea","pardela-escura","Quase Ameaçada"
"Ardenna gravis","pardela-de-barrete","Pouco Preocupante"
"Puffinus puffinus","pardela-sombria","Pouco Preocupante"
"Puffinus lherminieri","pardela-de-asa-larga","Pouco Preocupante"
"Pelecanoides magellani","petrel-mergulhador","Pouco Preocupante"
"Ciconia maguari","maguari","Pouco Preocupante"
"Jabiru mycteria","tuiuiu","Pouco Preocupante"
"Mycteria americana","cabeca-seca","Pouco Preocupante"
"Fregata trinitatis","fragata-pequena","Pouco Preocupante"
"Fregata aquila","fragata-de-ascensao",NA
"Fregata magnificens","fragata","Pouco Preocupante"
"Fregata minor","fragata-grande","Pouco Preocupante"
"Morus bassanus","atoba-boreal",NA
"Morus capensis","atoba-do-cabo","Vulnerável"
"Morus serrator","atoba-australiano","Pouco Preocupante"
"Sula dactylatra","atoba-grande","Pouco Preocupante"
"Sula sula","atoba-de-pe-vermelho","Pouco Preocupante"
"Sula leucogaster","atoba-pardo","Pouco Preocupante"
"Anhinga anhinga","biguatinga","Pouco Preocupante"
"Nannopterum brasilianum","bigua","Pouco Preocupante"
"Pelecanus occidentalis","pelicano","Pouco Preocupante"
"Cypseloides lemosi","taperucu-de-peito-branco","Pouco Preocupante"
"Tigrisoma lineatum","soco-boi","Pouco Preocupante"
"Tigrisoma fasciatum","soco-jararaca","Pouco Preocupante"
"Agamia agami","garca-da-mata","Vulnerável"
"Cochlearius cochlearius","arapapa","Pouco Preocupante"
"Zebrilus undulatus","socoi-zigue-zague","Quase Ameaçada"
"Botaurus pinnatus","soco-boi-baio","Pouco Preocupante"
"Ixobrychus exilis","socoi-vermelho","Pouco Preocupante"
"Ixobrychus involucris","socoi-amarelo","Pouco Preocupante"
"Nycticorax nycticorax","soco-dorminhoco","Pouco Preocupante"
"Nyctanassa violacea","savacu-de-coroa","Pouco Preocupante"
"Butorides striata","socozinho","Pouco Preocupante"
"Ardeola ralloides","garca-caranguejeira","Pouco Preocupante"
"Bubulcus ibis","garca-vaqueira","Pouco Preocupante"
"Ardea cinerea","garca-moura-europeia","Pouco Preocupante"
"Ardea cocoi","garca-moura","Pouco Preocupante"
"Ardea purpurea","garca-roxa","Pouco Preocupante"
"Ardea alba","garca-branca-grande","Pouco Preocupante"
"Syrigma sibilatrix","maria-faceira","Pouco Preocupante"
"Pilherodius pileatus","garca-real","Pouco Preocupante"
"Egretta tricolor","garca-tricolor","Pouco Preocupante"
"Egretta gularis","garca-negra","Pouco Preocupante"
"Egretta garzetta","garca-pequena-europeia","Pouco Preocupante"
"Egretta thula","garca-branca-pequena","Pouco Preocupante"
"Egretta caerulea","garca-azul","Pouco Preocupante"
"Eudocimus ruber","guara","Pouco Preocupante"
"Plegadis chihi","carauna","Pouco Preocupante"
"Cercibis oxycerca","trombeteiro","Pouco Preocupante"
"Mesembrinibis cayennensis","coro-coro","Pouco Preocupante"
"Phimosus infuscatus","tapicuru","Pouco Preocupante"
"Theristicus caerulescens","curicaca-real","Pouco Preocupante"
"Theristicus caudatus","curicaca","Pouco Preocupante"
"Platalea leucorodia","colhereiro-europeu","Pouco Preocupante"
"Platalea ajaja","colhereiro","Pouco Preocupante"
"Sarcoramphus papa","urubu-rei","Pouco Preocupante"
"Coragyps atratus","urubu-preto","Pouco Preocupante"
"Cathartes aura","urubu-de-cabeca-vermelha","Pouco Preocupante"
"Cathartes burrovianus","urubu-de-cabeca-amarela","Pouco Preocupante"
"Cathartes melambrotus","urubu-da-mata","Pouco Preocupante"
"Pandion haliaetus","aguia-pescadora","Pouco Preocupante"
"Gampsonyx swainsonii","gaviaozinho","Pouco Preocupante"
"Elanus leucurus","gaviao-peneira","Pouco Preocupante"
"Chondrohierax uncinatus","gaviao-caracoleiro","Pouco Preocupante"
"Leptodon cayanensis","gaviao-gato","Pouco Preocupante"
"Leptodon forbesi","gaviao-gato-do-nordeste","Em Perigo Crítico"
"Elanoides forficatus","gaviao-tesoura","Pouco Preocupante"
"Morphnus guianensis","uiracu","Quase Ameaçada"
"Harpia harpyja","gaviao-real","Quase Ameaçada"
"Spizaetus tyrannus","gaviao-pega-macaco","Pouco Preocupante"
"Spizaetus melanoleucus","gaviao-pato","Pouco Preocupante"
"Spizaetus ornatus","gaviao-de-penacho","Quase Ameaçada"
"Busarellus nigricollis","gaviao-belo","Pouco Preocupante"
"Rostrhamus sociabilis","gaviao-caramujeiro","Pouco Preocupante"
"Helicolestes hamatus","gaviao-do-igapo","Pouco Preocupante"
"Harpagus bidentatus","gaviao-ripina","Pouco Preocupante"
"Harpagus diodon","gaviao-bombachinha","Pouco Preocupante"
"Ictinia mississippiensis","sovi-do-norte","Pouco Preocupante"
"Ictinia plumbea","sovi","Pouco Preocupante"
"Circus cinereus","gaviao-cinza","Pouco Preocupante"
"Circus buffoni","gaviao-do-banhado","Pouco Preocupante"
"Hieraspiza superciliosa","tauato-passarinho","Pouco Preocupante"
"Accipiter poliogaster","tauato-pintado","Quase Ameaçada"
"Accipiter striatus","tauato-miudo","Pouco Preocupante"
"Accipiter bicolor","gaviao-bombachinha-grande","Pouco Preocupante"
"Milvus migrans","milhafre-preto","Pouco Preocupante"
"Geranospiza caerulescens","gaviao-pernilongo","Pouco Preocupante"
"Buteogallus schistaceus","gaviao-azul","Pouco Preocupante"
"Buteogallus aequinoctialis","gaviao-caranguejeiro","Quase Ameaçada"
"Heterospizias meridionalis","gaviao-caboclo","Pouco Preocupante"
"Amadonastur lacernulatus","gaviao-pombo-pequeno","Vulnerável"
"Urubitinga urubitinga","gaviao-preto","Pouco Preocupante"
"Urubitinga solitaria","aguia-solitaria",NA
"Urubitinga coronata","aguia-cinzenta","Em Perigo"
"Rupornis magnirostris","gaviao-carijo","Pouco Preocupante"
"Parabuteo unicinctus","gaviao-asa-de-telha","Pouco Preocupante"
"Parabuteo leucorrhous","gaviao-de-sobre-branco","Pouco Preocupante"
"Geranoaetus albicaudatus","gaviao-de-rabo-branco","Pouco Preocupante"
"Geranoaetus melanoleucus","aguia-serrana","Pouco Preocupante"
"Pseudastur albicollis","gaviao-branco","Pouco Preocupante"
"Pseudastur polionotus","gaviao-pombo-grande","Quase Ameaçada"
"Leucopternis melanops","gaviao-de-cara-preta","Pouco Preocupante"
"Leucopternis kuhli","gaviao-vaqueiro","Pouco Preocupante"
"Buteo nitidus","gaviao-pedres","Pouco Preocupante"
"Buteo platypterus","gaviao-de-asa-larga","Pouco Preocupante"
"Buteo brachyurus","gaviao-de-cauda-curta","Pouco Preocupante"
"Buteo swainsoni","gaviao-papa-gafanhoto","Pouco Preocupante"
"Buteo albonotatus","gaviao-urubu","Pouco Preocupante"
"Tyto furcata","suindara","Pouco Preocupante"
"Megascops choliba","corujinha-do-mato","Pouco Preocupante"
"Megascops roraimae","corujinha-de-roraima","Pouco Preocupante"
"Megascops sanctaecatarinae","corujinha-do-sul","Pouco Preocupante"
"Megascops watsonii","corujinha-das-guianas","Pouco Preocupante"
"Megascops usta","corujinha-relogio",NA
"Megascops stangiae","corujinha-do-xingu",NA
"Megascops ater","corujinha-de-belem",NA
"Megascops alagoensis","corujinha-de-alagoas",NA
"Megascops atricapilla","corujinha-sapo","Pouco Preocupante"
"Lophostrix cristata","coruja-de-crista","Pouco Preocupante"
"Pulsatrix perspicillata","murucututu","Pouco Preocupante"
"Pulsatrix koeniswaldiana","murucututu-de-barriga-amarela","Pouco Preocupante"
"Bubo virginianus","jacurutu","Pouco Preocupante"
"Strix hylophila","coruja-listrada","Quase Ameaçada"
"Strix virgata","coruja-do-mato","Pouco Preocupante"
"Strix huhula","coruja-preta","Pouco Preocupante"
"Glaucidium hardyi","cabure-da-amazonia","Pouco Preocupante"
"Glaucidium minutissimum","cabure-miudinho","Pouco Preocupante"
"Glaucidium brasilianum","cabure","Pouco Preocupante"
"Athene cunicularia","coruja-buraqueira","Pouco Preocupante"
"Aegolius harrisii","cabure-acanelado","Pouco Preocupante"
"Asio clamator","coruja-orelhuda","Pouco Preocupante"
"Asio stygius","mocho-diabo","Pouco Preocupante"
"Asio flammeus","mocho-dos-banhados","Pouco Preocupante"
"Pharomachrus pavoninus","quetzal-pavao","Pouco Preocupante"
"Trogon melanurus","surucua-de-cauda-preta","Pouco Preocupante"
"Trogon viridis","surucua-de-barriga-amarela","Pouco Preocupante"
"Trogon ramonianus","surucua-pequeno",NA
"Trogon surrucura","surucua-variado","Pouco Preocupante"
"Trogon violaceus","surucua-violaceo","Pouco Preocupante"
"Trogon curucui","surucua-de-barriga-vermelha","Pouco Preocupante"
"Trogon rufus","surucua-dourado-da-amazonia","Pouco Preocupante"
"Trogon muriciensis","surucua-de-murici",NA
"Trogon chrysochloros","surucua-dourado",NA
"Trogon collaris","surucua-de-coleira","Pouco Preocupante"
"Trogon personatus","surucua-mascarado","Pouco Preocupante"
"Electron platyrhynchum","udu-de-bico-largo","Pouco Preocupante"
"Baryphthengus martii","juruva-ruiva","Pouco Preocupante"
"Baryphthengus ruficapillus","juruva","Pouco Preocupante"
"Momotus momota","udu-de-coroa-azul","Pouco Preocupante"
"Megaceryle torquata","martim-pescador-grande","Pouco Preocupante"
"Chloroceryle amazona","martim-pescador-verde","Pouco Preocupante"
"Chloroceryle aenea","martim-pescador-miudo","Pouco Preocupante"
"Chloroceryle americana","martim-pescador-pequeno","Pouco Preocupante"
"Chloroceryle inda","martim-pescador-da-mata","Pouco Preocupante"
"Galbalcyrhynchus leucotis","ariramba-vermelha","Pouco Preocupante"
"Galbalcyrhynchus purusianus","ariramba-castanha","Pouco Preocupante"
"Brachygalba albogularis","agulha-de-garganta-branca","Pouco Preocupante"
"Brachygalba lugubris","ariramba-preta","Pouco Preocupante"
"Jacamaralcyon tridactyla","cuitelao","Vulnerável"
"Galbula albirostris","ariramba-de-bico-amarelo","Pouco Preocupante"
"Galbula cyanicollis","ariramba-da-mata","Pouco Preocupante"
"Galbula ruficauda","ariramba-de-cauda-ruiva","Pouco Preocupante"
"Galbula galbula","ariramba-de-cauda-verde","Pouco Preocupante"
"Galbula tombacea","ariramba-de-barba-branca","Pouco Preocupante"
"Galbula cyanescens","ariramba-da-capoeira","Pouco Preocupante"
"Galbula chalcothorax","ariramba-violacea","Pouco Preocupante"
"Galbula leucogastra","ariramba-bronzeada","Pouco Preocupante"
"Galbula dea","ariramba-do-paraiso","Pouco Preocupante"
"Jacamerops aureus","jacamaracu","Pouco Preocupante"
"Chelidoptera tenebrosa","urubuzinho","Pouco Preocupante"
"Monasa atra","chora-chuva-de-asa-branca","Pouco Preocupante"
"Monasa morphoeus","chora-chuva-de-cara-branca","Pouco Preocupante"
"Monasa nigrifrons","chora-chuva-preto","Pouco Preocupante"
"Monasa flavirostris","chora-chuva-de-bico-amarelo","Pouco Preocupante"
"Nonnula ruficapilla","freirinha-de-coroa-castanha","Pouco Preocupante"
"Nonnula amaurocephala","freirinha-de-cabeca-castanha","Pouco Preocupante"
"Nonnula sclateri","freirinha-amarelada","Pouco Preocupante"
"Nonnula rubecula","macuru","Pouco Preocupante"
"Malacoptila fusca","barbudo-pardo","Pouco Preocupante"
"Malacoptila semicincta","barbudo-de-coleira","Pouco Preocupante"
"Malacoptila minor","barbudo-rajado-pequeno",NA
"Malacoptila striata","barbudo-rajado","Quase Ameaçada"
"Malacoptila rufa","barbudo-de-pescoco-ferrugem","Pouco Preocupante"
"Micromonacha lanceolata","macuru-papa-mosca","Pouco Preocupante"
"Notharchus tectus","macuru-pintado","Pouco Preocupante"
"Notharchus hyperrhynchus","macuru-de-testa-branca","Pouco Preocupante"
"Notharchus swainsoni","macuru-de-barriga-castanha","Pouco Preocupante"
"Notharchus macrorhynchos","macuru-de-pescoco-branco","Pouco Preocupante"
"Notharchus ordii","macuru-de-peito-marrom","Pouco Preocupante"
"Cyphos macrodactylus","rapazinho-de-bone-vermelho","Pouco Preocupante"
"Tamatia tamatia","rapazinho-carijo","Pouco Preocupante"
"Bucco capensis","rapazinho-de-colar","Pouco Preocupante"
"Nystalus maculatus","rapazinho-dos-velhos","Pouco Preocupante"
"Nystalus striatipectus","rapazinho-do-chaco",NA
"Nystalus obamai","rapazinho-estriado-do-oeste",NA
"Nystalus striolatus","rapazinho-estriado-de-rondonia","Pouco Preocupante"
"Nystalus torridus","rapazinho-estriado-do-leste",NA
"Nystalus chacuru","joao-bobo","Pouco Preocupante"
"Capito aurovirens","capitao-de-coroa","Pouco Preocupante"
"Capito dayi","capitao-de-cinta","Vulnerável"
"Capito brunneipectus","capitao-de-peito-marrom","Pouco Preocupante"
"Capito niger","capitao-de-bigode-carijo","Pouco Preocupante"
"Capito auratus","capitao-de-fronte-dourada","Pouco Preocupante"
"Eubucco richardsoni","capitao-de-bigode-limao","Pouco Preocupante"
"Eubucco tucinkae","capitao-de-colar-amarelo","Pouco Preocupante"
"Ramphastos toco","tucanucu","Pouco Preocupante"
"Ramphastos tucanus","tucano-de-papo-branco","Vulnerável"
"Ramphastos vitellinus","tucano-de-bico-preto","Vulnerável"
"Ramphastos dicolorus","tucano-de-bico-verde","Pouco Preocupante"
"Aulacorhynchus atrogularis","tucaninho-de-nariz-amarelo","Pouco Preocupante"
"Aulacorhynchus whitelianus","tucaninho-verde","Pouco Preocupante"
"Selenidera piperivora","aracari-negro","Pouco Preocupante"
"Selenidera reinwardtii","saripoca-de-coleira","Pouco Preocupante"
"Selenidera nattereri","saripoca-de-bico-castanho","Pouco Preocupante"
"Selenidera gouldii","saripoca-de-gould","Pouco Preocupante"
"Selenidera maculirostris","aracari-poca","Pouco Preocupante"
"Pteroglossus bailloni","aracari-banana","Quase Ameaçada"
"Pteroglossus viridis","aracari-miudinho","Pouco Preocupante"
"Pteroglossus inscriptus","aracari-de-bico-riscado","Pouco Preocupante"
"Pteroglossus aracari","aracari-de-bico-branco","Pouco Preocupante"
"Pteroglossus castanotis","aracari-castanho","Pouco Preocupante"
"Pteroglossus pluricinctus","aracari-de-cinta-dupla","Pouco Preocupante"
"Pteroglossus azara","aracari-de-bico-de-marfim","Pouco Preocupante"
"Pteroglossus flavirostris","aracari-de-bico-amarelo",NA
"Pteroglossus mariae","aracari-de-bico-marrom",NA
"Pteroglossus beauharnaisii","aracari-mulato","Pouco Preocupante"
"Pteroglossus bitorquatus","aracari-de-pescoco-vermelho","Em Perigo"
"Picumnus aurifrons","picapauzinho-dourado","Pouco Preocupante"
"Picumnus pumilus","picapauzinho-do-orinoco","Pouco Preocupante"
"Picumnus lafresnayi","picapauzinho-do-amazonas","Pouco Preocupante"
"Picumnus undulatus","picapauzinho-ondulado",NA
"Picumnus buffonii","picapauzinho-de-costas-pintadas",NA
"Picumnus pernambucensis","picapauzinho-de-pernambuco",NA
"Picumnus exilis","picapauzinho-de-pintas-amarelas","Pouco Preocupante"
"Picumnus spilogaster","picapauzinho-de-pescoco-branco","Vulnerável"
"Picumnus limae","picapauzinho-da-caatinga","Pouco Preocupante"
"Picumnus pygmaeus","picapauzinho-pintado","Pouco Preocupante"
"Picumnus varzeae","picapauzinho-da-varzea","Em Perigo"
"Picumnus cirratus","picapauzinho-barrado","Pouco Preocupante"
"Picumnus temminckii","picapauzinho-de-coleira","Pouco Preocupante"
"Picumnus albosquamatus","picapauzinho-escamoso","Pouco Preocupante"
"Picumnus fuscus","picapauzinho-fusco","Pouco Preocupante"
"Picumnus rufiventris","picapauzinho-vermelho","Pouco Preocupante"
"Picumnus nebulosus","picapauzinho-carijo","Quase Ameaçada"
"Picumnus castelnau","picapauzinho-creme","Pouco Preocupante"
"Picumnus subtilis","picapauzinho-de-barras-finas","Pouco Preocupante"
"Melanerpes candidus","pica-pau-branco","Pouco Preocupante"
"Melanerpes cruentatus","benedito-de-testa-vermelha","Pouco Preocupante"
"Melanerpes flavifrons","benedito-de-testa-amarela","Pouco Preocupante"
"Melanerpes cactorum","pica-pau-de-testa-branca","Pouco Preocupante"
"Veniliornis kirkii","pica-pau-de-sobre-vermelho","Pouco Preocupante"
"Veniliornis cassini","pica-pau-de-colar-dourado","Pouco Preocupante"
"Veniliornis affinis","pica-pau-avermelhado","Pouco Preocupante"
"Veniliornis maculifrons","pica-pau-de-testa-pintada","Pouco Preocupante"
"Veniliornis passerinus","pica-pau-pequeno","Pouco Preocupante"
"Veniliornis spilogaster","pica-pau-verde-carijo","Pouco Preocupante"
"Veniliornis mixtus","pica-pau-chorao","Pouco Preocupante"
"Campephilus rubricollis","pica-pau-de-barriga-vermelha","Pouco Preocupante"
"Campephilus robustus","pica-pau-rei","Pouco Preocupante"
"Campephilus melanoleucos","pica-pau-de-topete-vermelho","Pouco Preocupante"
"Campephilus leucopogon","pica-pau-de-barriga-preta","Pouco Preocupante"
"Dryocopus lineatus","pica-pau-de-banda-branca","Pouco Preocupante"
"Celeus torquatus","pica-pau-de-coleira","Quase Ameaçada"
"Celeus galeatus","pica-pau-de-cara-canela","Vulnerável"
"Celeus undatus","pica-pau-barrado","Pouco Preocupante"
"Celeus flavus","pica-pau-amarelo","Pouco Preocupante"
"Celeus spectabilis","pica-pau-lindo","Pouco Preocupante"
"Celeus obrieni","pica-pau-da-taboca","Em Perigo"
"Celeus ochraceus","pica-pau-ocraceo","Pouco Preocupante"
"Celeus elegans","pica-pau-chocolate","Pouco Preocupante"
"Celeus lugubris","pica-pau-louro","Pouco Preocupante"
"Celeus flavescens","pica-pau-de-cabeca-amarela","Pouco Preocupante"
"Piculus leucolaemus","pica-pau-de-garganta-branca","Pouco Preocupante"
"Piculus flavigula","pica-pau-bufador","Pouco Preocupante"
"Piculus capistratus","pica-pau-de-garganta-barrada",NA
"Piculus laemostictus","pica-pau-de-garganta-pintada",NA
"Piculus paraensis","pica-pau-dourado-de-belem",NA
"Piculus chrysochloros","pica-pau-dourado-escuro","Pouco Preocupante"
"Piculus polyzonus","pica-pau-dourado-grande",NA
"Piculus aurulentus","pica-pau-dourado","Quase Ameaçada"
"Colaptes rubiginosus","pica-pau-olivaceo","Pouco Preocupante"
"Colaptes punctigula","pica-pau-de-peito-pontilhado","Pouco Preocupante"
"Colaptes melanochloros","pica-pau-verde-barrado","Pouco Preocupante"
"Colaptes campestris","pica-pau-do-campo","Pouco Preocupante"
"Cariama cristata","seriema","Pouco Preocupante"
"Herpetotheres cachinnans","acaua","Pouco Preocupante"
"Micrastur ruficollis","falcao-cabure","Pouco Preocupante"
"Micrastur gilvicollis","falcao-mateiro","Pouco Preocupante"
"Micrastur mintoni","falcao-criptico","Pouco Preocupante"
"Micrastur mirandollei","tanatau","Pouco Preocupante"
"Micrastur semitorquatus","falcao-relogio","Pouco Preocupante"
"Micrastur buckleyi","falcao-de-buckley","Pouco Preocupante"
"Caracara plancus","carcara","Pouco Preocupante"
"Ibycter americanus","cancao","Pouco Preocupante"
"Daptrius ater","gaviao-de-anta","Pouco Preocupante"
"Milvago chimachima","carrapateiro","Pouco Preocupante"
"Milvago chimango","chimango","Pouco Preocupante"
"Falco tinnunculus","peneireiro-de-dorso-malhado","Pouco Preocupante"
"Falco sparverius","quiriquiri","Pouco Preocupante"
"Falco columbarius","esmerilhao","Pouco Preocupante"
"Falco aesalon","esmerilhao-europeu",NA
"Falco rufigularis","caure","Pouco Preocupante"
"Falco deiroleucus","falcao-de-peito-laranja","Quase Ameaçada"
"Falco femoralis","falcao-de-coleira","Pouco Preocupante"
"Falco peregrinus","falcao-peregrino","Pouco Preocupante"
"Touit huetii","apuim-de-asa-vermelha","Vulnerável"
"Touit purpuratus","apuim-de-costas-azuis","Pouco Preocupante"
"Touit melanonotus","apuim-de-costas-pretas","Vulnerável"
"Touit surdus","apuim-de-cauda-amarela","Vulnerável"
"Nannopsittaca panychlora","periquito-dos-tepuis","Pouco Preocupante"
"Nannopsittaca dachilleae","periquito-da-amazonia","Quase Ameaçada"
"Myiopsitta monachus","caturrita","Pouco Preocupante"
"Brotogeris sanctithomae","periquito-testinha","Pouco Preocupante"
"Brotogeris tirica","periquito-rico","Pouco Preocupante"
"Brotogeris versicolurus","periquito-da-campina","Pouco Preocupante"
"Brotogeris chiriri","periquito-de-encontro-amarelo","Pouco Preocupante"
"Brotogeris cyanoptera","periquito-de-asa-azul","Pouco Preocupante"
"Brotogeris chrysoptera","periquito-de-asa-dourada","Pouco Preocupante"
"Pionopsitta pileata","cuiu-cuiu","Pouco Preocupante"
"Triclaria malachitacea","sabia-cica","Quase Ameaçada"
"Pyrilia barrabandi","curica-de-bochecha-laranja","Quase Ameaçada"
"Pyrilia caica","curica-de-chapeu-preto","Quase Ameaçada"
"Pyrilia aurantiocephala","papagaio-de-cabeca-laranja","Quase Ameaçada"
"Pyrilia vulturina","curica-urubu","Vulnerável"
"Pionus fuscus","maitaca-roxa","Pouco Preocupante"
"Pionus maximiliani","maitaca-verde","Pouco Preocupante"
"Pionus menstruus","maitaca-de-cabeca-azul","Pouco Preocupante"
"Pionus reichenowi","maitaca-de-barriga-azul","Pouco Preocupante"
"Graydidascalus brachyurus","curica-verde","Pouco Preocupante"
"Alipiopsitta xanthops","papagaio-galego","Quase Ameaçada"
"Amazona festiva","papagaio-da-varzea","Quase Ameaçada"
"Amazona vinacea","papagaio-de-peito-roxo","Em Perigo"
"Amazona pretrei","papagaio-charao","Vulnerável"
"Amazona autumnalis","papagaio-diadema","Pouco Preocupante"
"Amazona dufresniana","papagaio-de-bochecha-azul","Quase Ameaçada"
"Amazona rhodocorytha","chaua","Em Perigo"
"Amazona ochrocephala","papagaio-campeiro","Pouco Preocupante"
"Amazona aestiva","papagaio-verdadeiro","Pouco Preocupante"
"Amazona farinosa","papagaio-moleiro","Quase Ameaçada"
"Amazona kawalli","papagaio-dos-garbes","Quase Ameaçada"
"Amazona brasiliensis","papagaio-de-cara-roxa","Vulnerável"
"Amazona amazonica","curica","Pouco Preocupante"
"Forpus sclateri","periquito-santo-de-bico-escuro","Pouco Preocupante"
"Forpus xanthopterygius","tuim","Pouco Preocupante"
"Forpus passerinus","periquito-santo","Pouco Preocupante"
"Pionites melanocephalus","marianinha-de-cabeca-preta","Pouco Preocupante"
"Pionites leucogaster","marianinha-de-cabeca-amarela","Em Perigo"
"Deroptyus accipitrinus","anaca","Pouco Preocupante"
"Pyrrhura cruentata","tiriba-grande","Vulnerável"
"Pyrrhura devillei","tiriba-fogo","Quase Ameaçada"
"Pyrrhura frontalis","tiriba-de-testa-vermelha","Pouco Preocupante"
"Pyrrhura anerythra","tiriba-do-xingu",NA
"Pyrrhura coerulescens","tiriba-perola","Quase Ameaçada"
"Pyrrhura perlata","tiriba-de-barriga-vermelha","Vulnerável"
"Pyrrhura molinae","cara-suja-do-pantanal","Pouco Preocupante"
"Pyrrhura griseipectus","cara-suja","Em Perigo Crítico"
"Pyrrhura leucotis","tiriba-de-orelha-branca","Quase Ameaçada"
"Pyrrhura pfrimeri","tiriba-do-parana","Em Perigo"
"Pyrrhura picta","tiriba-de-testa-azul","Pouco Preocupante"
"Pyrrhura amazonum","tiriba-de-hellmayr","Em Perigo"
"Pyrrhura pallescens","tiriba-do-madeira","Vulnerável"
"Pyrrhura lucianii","tiriba-de-deville","Pouco Preocupante"
"Pyrrhura roseifrons","tiriba-de-cabeca-vermelha","Pouco Preocupante"
"Pyrrhura egregia","tiriba-de-cauda-roxa","Pouco Preocupante"
"Pyrrhura melanura","tiriba-fura-mata","Pouco Preocupante"
"Pyrrhura rupicola","tiriba-rupestre","Quase Ameaçada"
"Anodorhynchus hyacinthinus","arara-azul","Vulnerável"
"Anodorhynchus leari","arara-azul-de-lear","Em Perigo"
"Eupsittula aurea","periquito-rei","Pouco Preocupante"
"Eupsittula pertinax","periquito-de-bochecha-parda","Pouco Preocupante"
"Eupsittula cactorum","periquito-da-caatinga","Pouco Preocupante"
"Aratinga weddellii","periquito-de-cabeca-suja","Pouco Preocupante"
"Aratinga nenday","periquito-de-cabeca-preta","Pouco Preocupante"
"Aratinga solstitialis","jandaia-amarela","Em Perigo"
"Aratinga maculata","cacaue","Pouco Preocupante"
"Aratinga jandaya","jandaia-verdadeira","Pouco Preocupante"
"Aratinga auricapillus","jandaia-de-testa-vermelha","Quase Ameaçada"
"Cyanopsitta spixii","ararinha-azul","Em Perigo Crítico"
"Orthopsittaca manilatus","maracana-do-buriti","Pouco Preocupante"
"Primolius maracana","maracana","Quase Ameaçada"
"Primolius couloni","maracana-de-cabeca-azul","Vulnerável"
"Primolius auricollis","maracana-de-colar","Pouco Preocupante"
"Ara ararauna","arara-caninde","Pouco Preocupante"
"Ara severus","maracana-guacu","Pouco Preocupante"
"Ara macao","araracanga","Pouco Preocupante"
"Ara chloropterus","arara-vermelha","Pouco Preocupante"
"Guaruba guarouba","ararajuba","Vulnerável"
"Thectocercus acuticaudatus","aratinga-de-testa-azul","Pouco Preocupante"
"Diopsittaca nobilis","maracana-pequena","Pouco Preocupante"
"Psittacara leucophthalmus","periquitao","Pouco Preocupante"
"Euchrepomis humeralis","zidede-de-encontro","Pouco Preocupante"
"Euchrepomis spodioptila","zidede-de-asa-cinza","Pouco Preocupante"
"Myrmornis torquata","pinto-do-mato-carijo","Pouco Preocupante"
"Pygiptila stellaris","choca-cantadora","Pouco Preocupante"
"Microrhopias quixensis","papa-formiga-de-bando","Pouco Preocupante"
"Myrmorchilus strigilatus","tem-farinha-ai","Pouco Preocupante"
"Neoctantes niger","choca-preta","Pouco Preocupante"
"Clytoctantes atrogularis","choca-de-garganta-preta","Vulnerável"
"Epinecrophylla gutturalis","choquinha-de-barriga-parda","Quase Ameaçada"
"Epinecrophylla leucophthalma","choquinha-de-olho-branco","Pouco Preocupante"
"Epinecrophylla haematonota","choquinha-de-garganta-carijo","Pouco Preocupante"
"Epinecrophylla pyrrhonota","choquinha-do-rio-negro",NA
