scientificNameCBRO2021,scientificNameOriginal,category,scale,year,source,link
Thalasseus maximus,Thalasseus maximus,EN,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Calidris canutus,Calidris canutus,VU,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Calidris pusilla,Calidris pusilla,EN,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Calidris subruficollis,Calidrissubruficollis,VU,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Limnodromus griseus,Limnodromus griseus,EN,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Numenius hudsonicus,Numenius hudsonicus,VU,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Columbina cyanopis,Columbina cyanopis,CR,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Paraclaravis geoffroyi,Paraclaravis geoffroyi,CR(PE),Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Momotus momota marcgravianus,Momotus momota marcgraviana,EN,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Neomorphus geoffroyi,Neomorphus geoffroyi,VU,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Neomorphus geoffroyi amazonicus,Neomorphus geoffroyi amazonicus,VU,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Neomorphus geoffroyi dulcis,Neomorphus geoffroyi dulcis,EN,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Neomorphus geoffroyi geoffroyi,Neomorphus geoffroyi geoffroyi,CR(PE),Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Neomorphus squamiger,Neomorphus squamiger,VU,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Malacoptila minor,Malacoptila minor,VU,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Monasa morphoeus morphoeus,Monasa morphoeus morphoeus,EN,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Aburria cujubi,Aburria cujubi,VU,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Aburria jacutinga,Aburria jacutinga,EN,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Crax blumenbachii,Crax blumenbachii,EN,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Crax fasciolata pinima,Crax fasciolata pinima,CR,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Crax globulosa,Crax globulosa,EN,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Ortalis remota,Ortalis remota,CR,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Pauxi mitu,Pauxi mitu,EW,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Penelope jacucaca,Penelope jacucaca,VU,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Penelope pileata,Penelope pileata,VU,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Penelope superciliaris alagoensis,Penelope superciliaris alagoensis,CR,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Odontophorus capueira plumbeicollis,Odontophoruscapueira plumbeicollis,CR,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Psophia dextralis,Psophia dextralis,VU,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Psophia interjecta,Psophia interjecta,EN,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Psophia obscura,Psophia obscura,CR,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Psophia viridis,Psophia viridis,VU,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Laterallus spilopterus,Laterallusspilopterus,EN,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Laterallus xenopterus,Laterallusxenopterus,EN,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Nyctibius aethereus aethereus,Nyctibius aethereus aethereus,EN,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Nyctibius leucopterus,Nyctibius leucopterus,CR,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Granatellus pelzelni paraensis,Granatellus pelzelni paraensis,VU,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Conopophaga cearae,Conopophaga cearae,EN,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Conopophaga lineata lineata,Conopophaga lineata lineata,VU,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Cyanocorax hafferi,Cyanocorax hafferi,VU,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Cotinga maculata,Cotinga maculata,EN,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Lipaugus conditus,Lipaugus conditus,VU,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Procnias albus,Procnias albus wallacei,VU,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Xipholena atropurpurea,Xipholenaatropurpurea,VU,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Xipholena lamellipennis,Xipholenalamellipennis,VU,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Campylorhamphus cardosoi,Campylorhamphus cardosoi,VU,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Campylorhamphus multostriatus,Campylorhamphusmultostriatus,VU,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Campylorhamphus trochilirostris trochilirostris,Campylorhamphus trochilirostris trochilirostris,VU,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Dendrexetastes paraensis,Dendrexetastes rufigula paraensis,VU,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Dendrocincla merula badia,Dendrocincla merula badia,VU,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Dendrocincla taunayi,Dendrocincla taunayi,EN,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Dendrocolaptes medius,Dendrocolaptes medius,VU,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Dendrocolaptes retentus,Dendrocolaptes retentus,VU,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Dendrocolaptes transfasciatus,Dendrocolaptes transfasciatus,VU,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Hylexetastes uniformis brigidai,Hylexetastesbrigidai,VU,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Hylexetastes uniformis,Hylexetastesuniformis,VU,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Xiphocolaptes carajaensis,Xiphocolaptes carajaensis,VU,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Xiphocolaptes falcirostris,Xiphocolaptesfalcirostris,VU,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Xiphorhynchus atlanticus,Xiphorhynchusatlanticus,VU,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Xiphorhynchus guttatoides gracilirostris,Xiphorhynchusguttatoidesgracilirostris,EN,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Chamaeza nobilis fulvipectus,Chamaeza nobilis fulvipectus,VU,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Spinus yarrellii,Spinus yarrellii,VU,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Acrobatornis fonsecai,Acrobatornis fonsecai,VU,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Anabazenops dorsalis,Anabazenops dorsalis,VU,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Asthenes hudsoni,Asthenes hudsoni,VU,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Asthenes luizae,Asthenes luizae,EN,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Automolus lammi,Automolus lammi,EN,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Cinclodes espinhacensis,Cinclodes espinhacensis,EN,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Coryphistera alaudina,Coryphisteraalaudina,CR,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Leptasthenura platensis,Leptasthenuraplatensis,CR,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Pseudoseisura lophotes,Pseudoseisura lophotes,VU,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Synallaxis infuscata,Synallaxis infuscata,EN,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Synallaxis kollari,Synallaxis kollari,VU,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Syndactyla ucayalae,Syndactyla ucayalae,VU,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Thripophaga macroura,Thripophaga macroura,VU,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Grallaria varia distincta,Grallaria varia distincta,VU,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Grallaria varia intercedens,Grallaria varia intercedens,EN,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Hylopezus paraensis,Hylopezus paraensis,VU,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Hylopezus whittakeri,Hylopezus whittakeri,VU,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Anumara forbesi,Anumara forbesi,VU,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Cacicus koepckeae,Cacicus koepckeae,VU,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Xanthopsar flavus,Xanthopsar flavus,VU,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Anthus nattereri,Anthus nattereri,VU,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Onychorhynchus swainsoni,Onychorhynchusswainsoni,VU,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
